list_offer,id,crypto_price,usd_price,from,to,time,collection,rarity,qty
                     Offer                    ,5484,                        60.250 WETH                       ,"$105,676.69 ",                      4D41BA                     ,                    ---                   ,                     13h ago                    ,,,
                     List                    ,72,                        72 ETH                       ,"$126,285.84 ",                      ZeroMolecules                     ,                    ---                   ,                     17h ago                    ,,,
                     List                    ,9466,                        68.880 ETH                       ,"$120,813.45 ",                      002B05                     ,                    ---                   ,                     17h ago                    ,,,
                     List                    ,6774,                        61.9999 ETH                       ,"$108,745.96 ",                      franklinisbored                     ,                    ---                   ,                     17h ago                    ,,,
                     Offer                    ,4356,                        69.690 WETH                       ,"$122,234.17 ",                      4D41BA                     ,                    ---                   ,                     18h ago                    ,,,
                     Offer                    ,4324,                        62 WETH                       ,"$108,746.14 ",                      4D41BA                     ,                    ---                   ,                     18h ago                    ,,,
                     Offer                    ,1357,                        65.690 WETH                       ,"$115,218.29 ",                      4D41BA                     ,                    ---                   ,                     18h ago                    ,,,
                     Offer                    ,8535,                        65 WETH                       ,"$114,008.05 ",                      4D41BA                     ,                    ---                   ,                     18h ago                    ,,,
                     Offer                    ,4764,                        69.690 WETH                       ,"$122,234.17 ",                      4D41BA                     ,                    ---                   ,                     18h ago                    ,,,
                     List                    ,3055,                        61.9999 ETH                       ,"$108,745.96 ",                      franklinisbored                     ,                    ---                   ,                     17h ago                    ,,,
                     List                    ,2819,                        61.9999 ETH                       ,"$108,745.96 ",                      franklinisbored                     ,                    ---                   ,                     17h ago                    ,,,
                     Offer                    ,9383,                        0.100 WETH                       ,$175.40 ,                      flyper                     ,                    ---                   ,                     17h ago                    ,,,
                     Offer                    ,6348,                        0.0414 WETH                       ,$72.61 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,6795,                        0.0414 WETH                       ,$72.61 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,5058,                        0.0414 WETH                       ,$72.61 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,5063,                        0.0406 WETH                       ,$71.19 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,5063,                        0.0406 WETH                       ,$71.19 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,3644,                        0.0414 WETH                       ,$72.61 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,6937,                        0.0414 WETH                       ,$72.61 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,8557,                        0.0414 WETH                       ,$72.61 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,85,                        0.0414 WETH                       ,$72.61 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,5337,                        0.0414 WETH                       ,$72.61 ,                      LOA-1852515                     ,                    ---                   ,                     24h ago                    ,,,
                     Offer                    ,3680,                        62 WETH                       ,"$108,746.14 ",                      1B57D4                     ,                    ---                   ,                     23h ago                    ,,,
                     Offer                    ,9597,                        59 WETH                       ,"$103,484.23 ",                      1B57D4                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,2878,                        60 WETH                       ,"$105,238.20 ",                      1B57D4                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,2819,                        59.800 ETH                       ,"$104,887.41 ",                      Lutherin                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,5232,                        101 WETH                       ,"$177,150.97 ",                      9F0716                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,2819,                        59.900 ETH                       ,"$105,062.80 ",                      Lutherin                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,1059,                        73.800 ETH                       ,"$129,442.99 ",662437,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,7335,                        0.005 WETH                       ,$8.77 ,                      6D126B                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,7692,                        59.850 ETH                       ,"$104,975.10 ",                      BOOL-COLD-STORAGE                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,4284,                        68.690 ETH                       ,"$120,480.20 ",                      siouxzzy_vault                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,1008,                        65 WETH                       ,"$114,008.05 ",                      1B57D4                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,6774,                        58.950 ETH                       ,"$103,396.53 ",                      punksOTC3                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,3971,                        112.400 USDC                       ,$112.40 ,                      BA2F7A                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,6774,                        104.500 USDC                       ,$104.50 ,                      BA2F7A                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,1008,                        99 ETH                       ,"$173,643.03 ",                      kwuzy                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,7692,                        61.990 ETH                       ,"$108,728.60 ",                      BOOL-COLD-STORAGE                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,5484,                        66.600 ETH                       ,"$116,814.40 ",                      6CB90F                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,5484,                        58 WETH                       ,"$101,730.26 ",                      4D41BA                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,5484,                        58.500 WETH                       ,"$102,607.24 ",                      4D41BA                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,9355,                        69.690 ETH                       ,"$122,234.17 ",                      twitterdm                     ,                    ---                   ,                     1d ago                    ,,,
                     List                    ,7692,                        60.500 ETH                       ,"$106,115.18 ",                      BOOL-COLD-STORAGE                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,7692,                        104.500 USDC                       ,$104.50 ,                      BA2F7A                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,8372,                        108.800 USDC                       ,$108.80 ,                      BA2F7A                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,7897,                        59.230 WETH                       ,"$103,887.64 ",                      4D41BA                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,7897,                        65.500 ETH                       ,"$114,885.04 ",                      pdd_vault                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,1874,                        66 WETH                       ,"$115,762.02 ",                      4D41BA                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,429,                        62 ETH                       ,"$108,746.14 ",                      BOOL-COLD-STORAGE                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,718,                        61.499 ETH                       ,"$107,867.40 ",                      jesipinkman                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,1357,                        69.690 WETH                       ,"$122,234.17 ",                      4D41BA                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,6309,                        57.500 WETH                       ,"$100,853.28 ",                      4D41BA                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,9414,                        140 ETH                       ,"$245,555.80 ",                      Rollbit_Enjoyer                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,429,                        0.010 WETH                       ,$17.54 ,                      0xdanky                     ,                    ---                   ,                     1d ago                    ,,,
